Date (s),Itot (A)
4.27614e-11,3.936051960297343e-06
4.3016e-11,3.716094360484659e-06
4.32705e-11,3.504965311358362e-06
4.35254e-11,3.302196759099407e-06
4.37809e-11,3.107423511736831e-06
4.40372e-11,2.920568468165988e-06
4.42941e-11,2.741476056652369e-06
4.45521e-11,2.569840064572042e-06
4.48116e-11,2.405361491954582e-06
4.5073e-11,2.247766642890658e-06
4.53366e-11,2.096803971851978e-06
4.56027e-11,1.95238689601384e-06
4.58712e-11,1.814533866455542e-06
4.61425e-11,1.683029585776581e-06
4.6417e-11,1.557657043447256e-06
4.66954e-11,1.43821099694852e-06
4.69781e-11,1.324500505039079e-06
4.72652e-11,1.21656363042594e-06
4.7557e-11,1.114315366598336e-06
4.7854e-11,1.017569804126622e-06
4.81569e-11,9.261438963504454e-07
4.84666e-11,8.398588713257452e-07
4.87833e-11,7.586542629807888e-07
4.91075e-11,6.825002681820038e-07
4.94399e-11,6.112211846904332e-07
4.97817e-11,5.446391898602194e-07
5.01338e-11,4.825829808354055e-07
5.04973e-11,4.250109901971777e-07
5.08726e-11,3.717959355114533e-07
5.12613e-11,3.227772587957907e-07
5.16649e-11,2.777865945709029e-07
5.20852e-11,2.366571938021285e-07
5.25244e-11,1.992647282312274e-07
5.29729e-11,1.6619964337657e-07
5.3419e-11,1.377565542790821e-07
5.3862e-11,1.133535903474481e-07
5.43021e-11,9.242953521256777e-08
5.47392e-11,7.451566343783942e-08
5.51735e-11,5.916953695042575e-08
5.56053e-11,4.609319645718781e-08
5.60348e-11,3.494549557500534e-08
5.64624e-11,2.54113955898279e-08
5.68883e-11,1.728126026605996e-08
5.73128e-11,1.03664067818165e-08
5.77361e-11,8.445822217280843e-09
5.80889e-11,1.091026376045611e-09
5.85033e-11,-3.299886017198426e-09
5.89225e-11,-7.034036695009209e-09
5.93416e-11,-1.019545192005493e-08
5.976e-11,-1.286900982213838e-08
6.01778e-11,-1.512640810184237e-08
6.05953e-11,-1.702976137287719e-08
6.10126e-11,-1.862732806444852e-08
6.14299e-11,-1.996211193782198e-08
6.18475e-11,-2.107178397713173e-08
6.22654e-11,-2.199380505945787e-08
6.26834e-11,-2.2754307943129e-08
6.31018e-11,-2.337677534379133e-08
6.35207e-11,-2.388032466493375e-08
6.394e-11,-2.428973148427529e-08
6.436e-11,-2.458814568310318e-08
6.47807e-11,-2.480279122018136e-08
6.52024e-11,-2.494652485357723e-08
6.56256e-11,-2.502177890234612e-08
6.60505e-11,-2.501708102590325e-08
6.64775e-11,-2.499966010888596e-08
6.69068e-11,-2.496036481629492e-08
6.7339e-11,-2.49035572441477e-08
6.77743e-11,-2.483800099715405e-08
6.82132e-11,-2.475264268816062e-08
6.86559e-11,-2.464464163320302e-08
6.9103e-11,-2.452472025880246e-08
6.95549e-11,-2.439326646105919e-08
7.00123e-11,-2.425726849453516e-08
7.04757e-11,-2.41139891455636e-08
7.09458e-11,-2.39613642911298e-08
7.14233e-11,-2.380855270964175e-08
7.19092e-11,-2.36509260539891e-08
7.24041e-11,-2.348936427908525e-08
7.29091e-11,-2.331061955304641e-08
7.34249e-11,-2.311288352647749e-08
7.39526e-11,-2.292152960301048e-08
7.44932e-11,-2.273209759407266e-08
7.50475e-11,-2.2514102442023e-08
7.5617e-11,-2.229040001257823e-08
7.62028e-11,-2.204692197607149e-08
7.68063e-11,-2.180785759711089e-08
7.74288e-11,-2.15747548610658e-08
7.8071e-11,-2.134121121995673e-08
7.8734e-11,-2.111096922142735e-08
7.94186e-11,-2.089498418282426e-08
8.01257e-11,-2.062114886076621e-08
8.08562e-11,-2.036364989762961e-08
8.16101e-11,-2.011342763192037e-08
8.2388e-11,-1.987054379010988e-08
8.319e-11,-1.962819494225568e-08
8.40164e-11,-1.938501762648348e-08
8.48669e-11,-1.91512753229659e-08
8.57411e-11,-1.890794959397951e-08
8.66389e-11,-1.861930231006268e-08
8.75608e-11,-1.829950826424715e-08
8.85078e-11,-1.799801009622527e-08
8.94791e-11,-1.771954217643184e-08
9.04746e-11,-1.746009304510304e-08
9.14945e-11,-1.715623793572634e-08
9.25394e-11,-1.687577345301465e-08
9.36087e-11,-1.66132218872584e-08
9.47032e-11,-1.637312683796677e-08
9.58235e-11,-1.60912792329669e-08
9.69709e-11,-1.583246976605308e-08
9.81452e-11,-1.559693293829835e-08
9.93476e-11,-1.527315362267858e-08
1.00581e-10,-1.496202938110337e-08
1.01845e-10,-1.4693738238862e-08
1.03141e-10,-1.439876389754758e-08
1.04471e-10,-1.412283690857111e-08
1.05835e-10,-1.386153664068485e-08
1.07235e-10,-1.36192661341802e-08
1.08672e-10,-1.334357216517174e-08
